0  3 1
1 1 1 2
4 11 3 1
9 111 3 2
20 1111 3 1
41 11111 1 2
84 111111 3 1
128 2 2 1
130 12 0 -2
132 211 0 0
133 112 1 0
138 1211 1 -2
140 1112 1 -1
148 21111 1 0
149 11211 1 0
153 11112 3 2
170 121111 3 -1
172 111211 1 -1
180 111112 1 -2
257 21 1 2
259 121 0 2
264 1121 3 3
265 2111 0 0
273 11121 1 3
275 12111 3 3
292 111121 1 3
296 112111 3 5
297 211111 3 2
386 212 1 -2
390 1212 0 -1
394 21211 1 -1
396 21112 1 2
397 11212 0 -2
406 121211 1 -1
410 121112 5 -2
412 111212 0 -3
512 22 4 0
513 122 1 2
516 2211 1 0
517 2112 4 0
521 12211 1 1
523 12112 1 2
532 221111 3 0
533 211211 3 0
536 112112 3 0
537 211112 2 0
641 221 3 3
644 1221 1 2
648 21121 3 2
649 22111 1 2
658 121121 2 -1
660 122111 1 3
771 2121 1 3
775 12121 0 1
784 112121 0 2
785 211121 4 4
787 212111 1 3
902 21212 1 -3
1026 2212 3 -2
1029 12212 3 -2
1034 221211 3 -2
1036 221112 0 -2
1037 211212 4 -1
1152 222 2 2
1154 1222 1 -2
1156 22211 1 1
1157 22112 1 0
1162 122211 0 -2
1164 122112 3 -1
1281 2122 4 2
1283 12122 0 1
1288 112122 3 3
1289 212211 0 -2
1291 212112 1 1
1412 21221 4 3
1418 121221 1 -1
1537 2221 1 0
1539 12221 4 3
1544 221121 1 3
1545 222111 1 0
1667 22121 3 4
1672 122121 0 3
2054 221212 1 -3
2178 22212 4 0
2182 122212 4 -2
2309 212212 4 -1
2434 21222 2 -1
2438 121222 0 -1
2560 2222 3 -1
2561 12222 4 2
2564 222211 3 0
2565 222112 3 -1
2689 22122 3 3
2692 122122 2 3
2819 212122 3 3
3076 221221 2 3
3201 22221 2 2
3204 122221 4 1
3331 212221 2 2
3587 222121 1 3
4610 222212 3 0
5122 221222 2 3
5248 22222 2 2
5250 122222 2 -1
5377 212222 4 3
5633 222122 4 3
6657 222221 4 0
10752 222222 2 0
16384 3 2 0
16386 13 2 -1
16388 311 2 0
16389 113 1 0
16394 1311 2 0
16396 1113 2 -1
16404 31111 2 2
16405 11311 2 0
16409 11113 1 0
16426 131111 2 2
16428 111311 2 -2
16436 111113 2 -2
16514 312 0 0
16518 1312 0 0
16522 31211 1 0
16524 31112 1 0
